username,title,topics
pochtasizo212,Чат про письма и книги политзаключенным,Активисты;Инициатива
ovdinfolive,ОВД-Инфо LIVE,Новости;Правозащитная организация
mediazzzona,Медиазона,Новости
mediazona_exclusive,Медиазона. Эксклюзив,Новости
sotavisionmedia,SOTAvision,Новости;Активисты
rusnews,RusNews ⭕️,Новости;Активисты
astrapress,ASTRA,Новости
shot_shot,SHOT,Новости
mash,Mash,Новости
bazabazon,Baza,Новости
opersvodki,Оперативные сводки,Гниды;Силовики
extremizmunet,Экстремизму - НЕТ!,Гниды;Силовики
cknot,Кавказский узел,Новости
deptone,Первый отдел,Правозащитная организация
flame_in_the_dark,Свободные Люди Воронежа,Активисты
sledcom_press,Следком,Силовики
pzk_memorial,Поддержка политзеков. Мемориал,Правозащитная организация
politzekinfo,Политзек-Инфо,Инициатива
memorialsociety,Общество Мемориал,Правозащитная организация
polniypc,Центр Мемориал,Правозащитная организация
rapsinewsru,Новости РАПСИ,Новости
sud_27rf,Суды Хабаровского Края,Суд
sudpress71,Объединенная пресс-служба судебной системы Тульской области и УСД в Тульской области,Суд
uovs_info,Южный окружной военный суд,Суд
SPbGS,Объединённая пресс-служба судов Санкт-Петербурга,Суд
broblsud,Объединенная пресс-служба судов общей юрисдикции Брянской области,Суд
moscowcourts,Суды общей юрисдикции города Москвы,Суд
sudUdm,Объединенная пресс-служба судов Удмуртии,Суд
proc_crimea,Прокуратура Республики Крым,Прокуратура
tgsudalt,Объединенная пресс-служба судов Алтайского края,Суд
sudpress09,Объединенная пресс-служба судов Карачаево-Черкесской Республики,Суд
genprocru,Генпрокуратура РФ,Прокуратура
sudrfkursk,Объединенная пресс-служба судебной системы Курской области,Суд
sudpress53,Объединённая пресс-служба судов Новгородской области,Суд
verhsud_dnr,Объединенная пресс-служба Верховного Суда ДНР и Управления Судебного департамента в ДНР,Суд
moscowproc,ПРОКУРАТУРА МОСКВЫ,Силовики;Прокуратура
sudpress10,Объединённая пресс-служба судов Республики Карелия,Суд
VOENSLED,ВОЕНСЛЕД,Силовики
sudpress35,Объединённая пресс-служба судов Вологодской области,Суд
vlgsud,Объединенная пресс-служба судов Волгоградской области,Суд
sudpress60,Объединённая пресс-служба судов Псковской области,Суд
sudpress33,Объединённая пресс-служба судов общей юрисдикции Владимирской области,Суд
ekboblsud,Суды Свердловской области,Суд
oblsudrf,Херсонский областной суд,Суд
GVS_SK,Информационный портал гарнизонных военных судов Ставропольского края,Суд
press_pk,Объединённая пресс-служба судебной системы Приморского края,Суд
kosoblsud44,Костромской областной суд,Суд
oblzprsudrf,Запорожский областной суд,Суд
opskuban,Объединенная пресс-служба судов Краснодарского края,Суд
OblSud_klg,Калининградский областной суд,Суд
newssudkrskof,Новости Красноярского краевого суда и судов Красноярского края,Суд
vslnrorg,Верховный Суд Луганской Народной Республики,Суд
Kirovsky_bkr_sudf,Кировский районный суд г.Уфы Республики Башкортостан,Суд
Tmnoblsud72,Объединенная пресс-служба судебной системы Тюменской области,Суд
VtoroiVostochOvs,2-й Восточный окружной военный суд,Суд
sainsud,Саяногорский городской суд Республики Хакасия,Суд
ugracourts,Суды Югры,Суд
mgdngorsud,Магаданский городской суд Магаданской области,Суд
vsrh2021,Фемида Хакасии,Суд
pksud_rf,Петропавловск-Камчатский городской суд,Суд
courts_of_the_Omsk_region,Суды Омской области,Суд
saroblsud,Саратовский областной суд,Суд
chernog_hak_sudrf,Пресс служба Черногорский городской суд,Суд
kirovskiysudrk,Кировский районный суд Республики Крым,Суд
krm_gvs,Крымский гарнизонный военный суд,Суд
Abakanskiygvs,Абаканский гарнизонный военный суд,Суд
kgvs24,ВОЕННЫЙ СУД 24,Суд
Femida_Dagestana,Фемида Дагестана,Суд
news_72ru,72.RU,Региональное СМИ
